year,total_defaults,investment_grade_defaults,speculative_grade_defaults,default_rate,investment_grade_default_rate,speculative_grade_default_rate,total_debt_outstanding_bln
1981,2,0,2,0.15,0.00,0.63,0.06
1982,18,2,15,1.22,0.19,4.46,0.90
1983,12,1,10,0.77,0.09,2.98,0.37
1984,14,2,12,0.93,0.17,3.31,0.36
1985,19,0,18,1.13,0.00,4.37,0.31
1986,34,2,30,1.74,0.15,5.75,0.46
1987,19,0,19,0.95,0.00,2.83,1.60
1988,32,0,29,1.39,0.00,3.88,3.30
1989,44,3,35,1.79,0.22,4.70,7.28
1990,70,2,56,2.74,0.14,8.12,21.15
1991,93,2,65,3.26,0.14,11.05,23.65
1992,39,0,32,1.50,0.00,6.12,5.40
1993,26,0,14,0.60,0.00,2.51,2.38
1994,21,1,15,0.63,0.05,2.12,2.30
1995,35,1,29,1.05,0.05,3.54,8.97
1996,20,0,16,0.51,0.00,1.81,2.65
1997,23,2,20,0.63,0.08,2.01,4.93
1998,56,4,48,1.28,0.14,3.67,11.27
1999,109,5,92,2.15,0.17,5.57,39.38
2000,136,7,109,2.48,0.24,6.24,43.28
2001,229,7,173,3.79,0.23,9.90,118.79
2002,226,13,159,3.60,0.42,9.50,190.92
2003,119,3,89,1.93,0.10,5.07,62.89
2004,56,1,38,0.78,0.03,2.03,20.66
2005,40,1,31,0.60,0.03,1.51,42.00
2006,30,0,26,0.48,0.00,1.19,7.13
2007,24,0,21,0.37,0.00,0.91,8.15
2008,127,14,89,1.80,0.42,3.71,429.63
2009,268,11,224,4.19,0.33,9.95,627.70
2010,83,0,64,1.21,0.00,3.02,97.48
2011,53,1,44,0.80,0.03,1.85,84.30
2012,83,0,66,1.14,0.00,2.59,86.70
2013,81,0,64,1.06,0.00,2.31,97.29
2014,60,0,45,0.69,0.00,1.44,91.55
2015,113,0,94,1.36,0.00,2.78,110.31
2016,163,1,143,2.09,0.03,4.24,239.79
2017,95,0,83,1.21,0.00,2.47,104.57
2018,82,0,72,1.03,0.00,2.10,131.65
2019,118,2,92,1.30,0.06,2.54,183.21
2020,226,0,198,2.74,0.00,5.50,353.43
2021,72,0,60,0.84,0.00,1,68,66.28

